"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+009, +9.64465104235E-001, +0.00000000000E+000
+1.00200000000E+009, +9.64674782858E-001, +0.00000000000E+000
+1.00400000000E+009, +9.65098304061E-001, +0.00000000000E+000
+1.00600000000E+009, +9.65314397585E-001, +0.00000000000E+000
+1.00800000000E+009, +9.65533761978E-001, +0.00000000000E+000
+1.01000000000E+009, +9.65677797576E-001, +0.00000000000E+000
+1.01200000000E+009, +9.65919266087E-001, +0.00000000000E+000
+1.01400000000E+009, +9.66101113825E-001, +0.00000000000E+000
+1.01600000000E+009, +9.66368653853E-001, +0.00000000000E+000
+1.01800000000E+009, +9.66424326082E-001, +0.00000000000E+000
+1.02000000000E+009, +9.66422386947E-001, +0.00000000000E+000
+1.02200000000E+009, +9.66870824624E-001, +0.00000000000E+000
+1.02400000000E+009, +9.67069881015E-001, +0.00000000000E+000
+1.02600000000E+009, +9.67168755977E-001, +0.00000000000E+000
+1.02800000000E+009, +9.67095250862E-001, +0.00000000000E+000
+1.03000000000E+009, +9.67264229085E-001, +0.00000000000E+000
+1.03200000000E+009, +9.67376112380E-001, +0.00000000000E+000
+1.03400000000E+009, +9.67553313469E-001, +0.00000000000E+000
+1.03600000000E+009, +9.67561851258E-001, +0.00000000000E+000
+1.03800000000E+009, +9.67584802799E-001, +0.00000000000E+000
+1.04000000000E+009, +9.67699912110E-001, +0.00000000000E+000
+1.04200000000E+009, +9.67869620689E-001, +0.00000000000E+000
+1.04400000000E+009, +9.68032054606E-001, +0.00000000000E+000
+1.04600000000E+009, +9.68055489266E-001, +0.00000000000E+000
+1.04800000000E+009, +9.68185403939E-001, +0.00000000000E+000
+1.05000000000E+009, +9.68121673031E-001, +0.00000000000E+000
+1.05200000000E+009, +9.68221243034E-001, +0.00000000000E+000
+1.05400000000E+009, +9.68432439157E-001, +0.00000000000E+000
+1.05600000000E+009, +9.68637954951E-001, +0.00000000000E+000
+1.05800000000E+009, +9.68674348647E-001, +0.00000000000E+000
+1.06000000000E+009, +9.68698141999E-001, +0.00000000000E+000
+1.06200000000E+009, +9.68597657270E-001, +0.00000000000E+000
+1.06400000000E+009, +9.68547792764E-001, +0.00000000000E+000
+1.06600000000E+009, +9.68674980036E-001, +0.00000000000E+000
+1.06800000000E+009, +9.68683499324E-001, +0.00000000000E+000
+1.07000000000E+009, +9.68885532092E-001, +0.00000000000E+000
+1.07200000000E+009, +9.68889363983E-001, +0.00000000000E+000
+1.07400000000E+009, +9.68906697831E-001, +0.00000000000E+000
+1.07600000000E+009, +9.68508188564E-001, +0.00000000000E+000
+1.07800000000E+009, +9.68961922363E-001, +0.00000000000E+000
+1.08000000000E+009, +9.68857855756E-001, +0.00000000000E+000
+1.08200000000E+009, +9.68842845257E-001, +0.00000000000E+000
+1.08400000000E+009, +9.69030305818E-001, +0.00000000000E+000
+1.08600000000E+009, +9.68867631015E-001, +0.00000000000E+000
+1.08800000000E+009, +9.68739030726E-001, +0.00000000000E+000
+1.09000000000E+009, +9.69062420412E-001, +0.00000000000E+000
+1.09200000000E+009, +9.68832300628E-001, +0.00000000000E+000
+1.09400000000E+009, +9.68795031770E-001, +0.00000000000E+000
+1.09600000000E+009, +9.68762572593E-001, +0.00000000000E+000
+1.09800000000E+009, +9.68845692583E-001, +0.00000000000E+000
+1.10000000000E+009, +9.68686976150E-001, +0.00000000000E+000
+1.10200000000E+009, +9.68649079875E-001, +0.00000000000E+000
+1.10400000000E+009, +9.68515082850E-001, +0.00000000000E+000
+1.10600000000E+009, +9.68588742465E-001, +0.00000000000E+000
+1.10800000000E+009, +9.68676895150E-001, +0.00000000000E+000
+1.11000000000E+009, +9.68588189272E-001, +0.00000000000E+000
+1.11200000000E+009, +9.68441573281E-001, +0.00000000000E+000
+1.11400000000E+009, +9.68316160622E-001, +0.00000000000E+000
+1.11600000000E+009, +9.68227008850E-001, +0.00000000000E+000
+1.11800000000E+009, +9.68006652089E-001, +0.00000000000E+000
+1.12000000000E+009, +9.68177314651E-001, +0.00000000000E+000
+1.12200000000E+009, +9.67971833296E-001, +0.00000000000E+000
+1.12400000000E+009, +9.68136575891E-001, +0.00000000000E+000
+1.12600000000E+009, +9.68035111331E-001, +0.00000000000E+000
+1.12800000000E+009, +9.67862869704E-001, +0.00000000000E+000
+1.13000000000E+009, +9.67606825034E-001, +0.00000000000E+000
+1.13200000000E+009, +9.67715630903E-001, +0.00000000000E+000
+1.13400000000E+009, +9.67347695836E-001, +0.00000000000E+000
+1.13600000000E+009, +9.67199086235E-001, +0.00000000000E+000
+1.13800000000E+009, +9.67039051813E-001, +0.00000000000E+000
+1.14000000000E+009, +9.66803006718E-001, +0.00000000000E+000
+1.14200000000E+009, +9.66664299395E-001, +0.00000000000E+000
+1.14400000000E+009, +9.66426856751E-001, +0.00000000000E+000
+1.14600000000E+009, +9.66490583472E-001, +0.00000000000E+000
+1.14800000000E+009, +9.66192747198E-001, +0.00000000000E+000
+1.15000000000E+009, +9.66066871145E-001, +0.00000000000E+000
+1.15200000000E+009, +9.65852426975E-001, +0.00000000000E+000
+1.15400000000E+009, +9.65571310421E-001, +0.00000000000E+000
+1.15600000000E+009, +9.65511554959E-001, +0.00000000000E+000
+1.15800000000E+009, +9.65197012893E-001, +0.00000000000E+000
+1.16000000000E+009, +9.64943322447E-001, +0.00000000000E+000
+1.16200000000E+009, +9.64886127757E-001, +0.00000000000E+000
+1.16400000000E+009, +9.64762635212E-001, +0.00000000000E+000
+1.16600000000E+009, +9.64476814479E-001, +0.00000000000E+000
+1.16800000000E+009, +9.64306099714E-001, +0.00000000000E+000
+1.17000000000E+009, +9.64024052037E-001, +0.00000000000E+000
+1.17200000000E+009, +9.63751694547E-001, +0.00000000000E+000
+1.17400000000E+009, +9.63599321021E-001, +0.00000000000E+000
+1.17600000000E+009, +9.63233694995E-001, +0.00000000000E+000
+1.17800000000E+009, +9.63181608572E-001, +0.00000000000E+000
+1.18000000000E+009, +9.62708386904E-001, +0.00000000000E+000
+1.18200000000E+009, +9.62537586323E-001, +0.00000000000E+000
+1.18400000000E+009, +9.62342709876E-001, +0.00000000000E+000
+1.18600000000E+009, +9.62047585869E-001, +0.00000000000E+000
+1.18800000000E+009, +9.61812231392E-001, +0.00000000000E+000
+1.19000000000E+009, +9.61418079397E-001, +0.00000000000E+000
+1.19200000000E+009, +9.61054314946E-001, +0.00000000000E+000
+1.19400000000E+009, +9.60904121690E-001, +0.00000000000E+000
+1.19600000000E+009, +9.60595830216E-001, +0.00000000000E+000
+1.19800000000E+009, +9.60211558513E-001, +0.00000000000E+000
+1.20000000000E+009, +9.59840451664E-001, +0.00000000000E+000
+1.20200000000E+009, +9.59317294673E-001, +0.00000000000E+000
+1.20400000000E+009, +9.59153108564E-001, +0.00000000000E+000
+1.20600000000E+009, +9.58554394643E-001, +0.00000000000E+000
+1.20800000000E+009, +9.58290023014E-001, +0.00000000000E+000
+1.21000000000E+009, +9.57722121247E-001, +0.00000000000E+000
+1.21200000000E+009, +9.57262581495E-001, +0.00000000000E+000
+1.21400000000E+009, +9.56942470339E-001, +0.00000000000E+000
+1.21600000000E+009, +9.56595144816E-001, +0.00000000000E+000
+1.21800000000E+009, +9.56023440859E-001, +0.00000000000E+000
+1.22000000000E+009, +9.55615860368E-001, +0.00000000000E+000
+1.22200000000E+009, +9.55255462697E-001, +0.00000000000E+000
+1.22400000000E+009, +9.54724180673E-001, +0.00000000000E+000
+1.22600000000E+009, +9.54320811031E-001, +0.00000000000E+000
+1.22800000000E+009, +9.53783967070E-001, +0.00000000000E+000
+1.23000000000E+009, +9.53301649180E-001, +0.00000000000E+000
+1.23200000000E+009, +9.52740085324E-001, +0.00000000000E+000
+1.23400000000E+009, +9.52187431547E-001, +0.00000000000E+000
+1.23600000000E+009, +9.51603578670E-001, +0.00000000000E+000
+1.23800000000E+009, +9.51081351927E-001, +0.00000000000E+000
+1.24000000000E+009, +9.50525813655E-001, +0.00000000000E+000
+1.24200000000E+009, +9.49917524235E-001, +0.00000000000E+000
+1.24400000000E+009, +9.49224087402E-001, +0.00000000000E+000
+1.24600000000E+009, +9.48662640519E-001, +0.00000000000E+000
+1.24800000000E+009, +9.47887642606E-001, +0.00000000000E+000
+1.25000000000E+009, +9.47337033264E-001, +0.00000000000E+000
+1.25200000000E+009, +9.46838099505E-001, +0.00000000000E+000
+1.25400000000E+009, +9.46010651328E-001, +0.00000000000E+000
+1.25600000000E+009, +9.45454941570E-001, +0.00000000000E+000
+1.25800000000E+009, +9.44851723717E-001, +0.00000000000E+000
+1.26000000000E+009, +9.44177703548E-001, +0.00000000000E+000
+1.26200000000E+009, +9.43515001048E-001, +0.00000000000E+000
+1.26400000000E+009, +9.42769868641E-001, +0.00000000000E+000
+1.26600000000E+009, +9.41944770289E-001, +0.00000000000E+000
+1.26800000000E+009, +9.41160693438E-001, +0.00000000000E+000
+1.27000000000E+009, +9.40387824877E-001, +0.00000000000E+000
+1.27200000000E+009, +9.39707124668E-001, +0.00000000000E+000
+1.27400000000E+009, +9.38629852146E-001, +0.00000000000E+000
+1.27600000000E+009, +9.37743741818E-001, +0.00000000000E+000
+1.27800000000E+009, +9.36821153977E-001, +0.00000000000E+000
+1.28000000000E+009, +9.36111527062E-001, +0.00000000000E+000
+1.28200000000E+009, +9.35104134056E-001, +0.00000000000E+000
+1.28400000000E+009, +9.34142011816E-001, +0.00000000000E+000
+1.28600000000E+009, +9.33032956438E-001, +0.00000000000E+000
+1.28800000000E+009, +9.32130472387E-001, +0.00000000000E+000
+1.29000000000E+009, +9.31248635736E-001, +0.00000000000E+000
+1.29200000000E+009, +9.30081025594E-001, +0.00000000000E+000
+1.29400000000E+009, +9.29189837972E-001, +0.00000000000E+000
+1.29600000000E+009, +9.28338158545E-001, +0.00000000000E+000
+1.29800000000E+009, +9.27109861545E-001, +0.00000000000E+000
+1.30000000000E+009, +9.26109403524E-001, +0.00000000000E+000
+1.30200000000E+009, +9.24968556565E-001, +0.00000000000E+000
+1.30400000000E+009, +9.23920185303E-001, +0.00000000000E+000
+1.30600000000E+009, +9.22647212440E-001, +0.00000000000E+000
+1.30800000000E+009, +9.21455988476E-001, +0.00000000000E+000
+1.31000000000E+009, +9.20226547827E-001, +0.00000000000E+000
+1.31200000000E+009, +9.18927422592E-001, +0.00000000000E+000
+1.31400000000E+009, +9.17708283584E-001, +0.00000000000E+000
+1.31600000000E+009, +9.16413643883E-001, +0.00000000000E+000
+1.31800000000E+009, +9.15237104760E-001, +0.00000000000E+000
+1.32000000000E+009, +9.13913946425E-001, +0.00000000000E+000
