"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+009, -3.27365278565E-001, +0.00000000000E+000
+1.00200000000E+009, -3.23640293053E-001, +0.00000000000E+000
+1.00400000000E+009, -3.20287406085E-001, +0.00000000000E+000
+1.00600000000E+009, -3.18302707026E-001, +0.00000000000E+000
+1.00800000000E+009, -3.13913455293E-001, +0.00000000000E+000
+1.01000000000E+009, -3.12859147099E-001, +0.00000000000E+000
+1.01200000000E+009, -3.09928314128E-001, +0.00000000000E+000
+1.01400000000E+009, -3.08573507697E-001, +0.00000000000E+000
+1.01600000000E+009, -3.04900372655E-001, +0.00000000000E+000
+1.01800000000E+009, -3.01392494001E-001, +0.00000000000E+000
+1.02000000000E+009, -2.99430790783E-001, +0.00000000000E+000
+1.02200000000E+009, -2.97720201788E-001, +0.00000000000E+000
+1.02400000000E+009, -2.94289251759E-001, +0.00000000000E+000
+1.02600000000E+009, -2.96049312351E-001, +0.00000000000E+000
+1.02800000000E+009, -2.94623443572E-001, +0.00000000000E+000
+1.03000000000E+009, -2.92377176399E-001, +0.00000000000E+000
+1.03200000000E+009, -2.91079262625E-001, +0.00000000000E+000
+1.03400000000E+009, -2.91017547444E-001, +0.00000000000E+000
+1.03600000000E+009, -2.88431373245E-001, +0.00000000000E+000
+1.03800000000E+009, -2.90217674673E-001, +0.00000000000E+000
+1.04000000000E+009, -2.87833333221E-001, +0.00000000000E+000
+1.04200000000E+009, -2.86375104746E-001, +0.00000000000E+000
+1.04400000000E+009, -2.86649241649E-001, +0.00000000000E+000
+1.04600000000E+009, -2.85642312614E-001, +0.00000000000E+000
+1.04800000000E+009, -2.86607300945E-001, +0.00000000000E+000
+1.05000000000E+009, -2.87661518843E-001, +0.00000000000E+000
+1.05200000000E+009, -2.87055312124E-001, +0.00000000000E+000
+1.05400000000E+009, -2.87501236068E-001, +0.00000000000E+000
+1.05600000000E+009, -2.86110132478E-001, +0.00000000000E+000
+1.05800000000E+009, -2.86968144435E-001, +0.00000000000E+000
+1.06000000000E+009, -2.89989570102E-001, +0.00000000000E+000
+1.06200000000E+009, -2.87709294327E-001, +0.00000000000E+000
+1.06400000000E+009, -2.89063584610E-001, +0.00000000000E+000
+1.06600000000E+009, -2.89413172284E-001, +0.00000000000E+000
+1.06800000000E+009, -2.88570753097E-001, +0.00000000000E+000
+1.07000000000E+009, -2.90628965013E-001, +0.00000000000E+000
+1.07200000000E+009, -2.91412046685E-001, +0.00000000000E+000
+1.07400000000E+009, -2.91898638963E-001, +0.00000000000E+000
+1.07600000000E+009, -2.93355791654E-001, +0.00000000000E+000
+1.07800000000E+009, -2.92409840656E-001, +0.00000000000E+000
+1.08000000000E+009, -2.92283241745E-001, +0.00000000000E+000
+1.08200000000E+009, -2.93001976852E-001, +0.00000000000E+000
+1.08400000000E+009, -2.94025103603E-001, +0.00000000000E+000
+1.08600000000E+009, -2.99487241833E-001, +0.00000000000E+000
+1.08800000000E+009, -2.97442409034E-001, +0.00000000000E+000
+1.09000000000E+009, -2.99110081717E-001, +0.00000000000E+000
+1.09200000000E+009, -3.02133792690E-001, +0.00000000000E+000
+1.09400000000E+009, -3.01535636060E-001, +0.00000000000E+000
+1.09600000000E+009, -3.02720754478E-001, +0.00000000000E+000
+1.09800000000E+009, -3.03899905271E-001, +0.00000000000E+000
+1.10000000000E+009, -3.07021653177E-001, +0.00000000000E+000
+1.10200000000E+009, -3.06300329103E-001, +0.00000000000E+000
+1.10400000000E+009, -3.10424328462E-001, +0.00000000000E+000
+1.10600000000E+009, -3.09925479813E-001, +0.00000000000E+000
+1.10800000000E+009, -3.10734758563E-001, +0.00000000000E+000
+1.11000000000E+009, -3.10329526198E-001, +0.00000000000E+000
+1.11200000000E+009, -3.10913858644E-001, +0.00000000000E+000
+1.11400000000E+009, -3.11303677730E-001, +0.00000000000E+000
+1.11600000000E+009, -3.12880507431E-001, +0.00000000000E+000
+1.11800000000E+009, -3.14008548909E-001, +0.00000000000E+000
+1.12000000000E+009, -3.14499088926E-001, +0.00000000000E+000
+1.12200000000E+009, -3.15002864530E-001, +0.00000000000E+000
+1.12400000000E+009, -3.14909757434E-001, +0.00000000000E+000
+1.12600000000E+009, -3.14874703166E-001, +0.00000000000E+000
+1.12800000000E+009, -3.14285878406E-001, +0.00000000000E+000
+1.13000000000E+009, -3.15291886664E-001, +0.00000000000E+000
+1.13200000000E+009, -3.15061499772E-001, +0.00000000000E+000
+1.13400000000E+009, -3.17434228601E-001, +0.00000000000E+000
+1.13600000000E+009, -3.18601414412E-001, +0.00000000000E+000
+1.13800000000E+009, -3.18607960123E-001, +0.00000000000E+000
