"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+009, -2.96508817282E+001, +0.00000000000E+000
+1.00200000000E+009, -3.01785079083E+001, +0.00000000000E+000
+1.00400000000E+009, -3.07159236699E+001, +0.00000000000E+000
+1.00600000000E+009, -3.12737276115E+001, +0.00000000000E+000
+1.00800000000E+009, -3.18469569403E+001, +0.00000000000E+000
+1.01000000000E+009, -3.24435415024E+001, +0.00000000000E+000
+1.01200000000E+009, -3.30481596583E+001, +0.00000000000E+000
+1.01400000000E+009, -3.36643031267E+001, +0.00000000000E+000
+1.01600000000E+009, -3.43096974169E+001, +0.00000000000E+000
+1.01800000000E+009, -3.49804517977E+001, +0.00000000000E+000
+1.02000000000E+009, -3.56740803866E+001, +0.00000000000E+000
+1.02200000000E+009, -3.63899743557E+001, +0.00000000000E+000
+1.02400000000E+009, -3.71290949297E+001, +0.00000000000E+000
+1.02600000000E+009, -3.78735030875E+001, +0.00000000000E+000
+1.02800000000E+009, -3.86466527333E+001, +0.00000000000E+000
+1.03000000000E+009, -3.94496722671E+001, +0.00000000000E+000
+1.03200000000E+009, -4.02721084250E+001, +0.00000000000E+000
+1.03400000000E+009, -4.10962225691E+001, +0.00000000000E+000
+1.03600000000E+009, -4.19371043640E+001, +0.00000000000E+000
+1.03800000000E+009, -4.27661788212E+001, +0.00000000000E+000
+1.04000000000E+009, -4.35875917944E+001, +0.00000000000E+000
+1.04200000000E+009, -4.44121642443E+001, +0.00000000000E+000
+1.04400000000E+009, -4.51290338503E+001, +0.00000000000E+000
+1.04600000000E+009, -4.57845279839E+001, +0.00000000000E+000
+1.04800000000E+009, -4.63323204819E+001, +0.00000000000E+000
+1.05000000000E+009, -4.67845168903E+001, +0.00000000000E+000
+1.05200000000E+009, -4.71082498870E+001, +0.00000000000E+000
+1.05400000000E+009, -4.72740774361E+001, +0.00000000000E+000
+1.05600000000E+009, -4.73024230272E+001, +0.00000000000E+000
+1.05800000000E+009, -4.73051989507E+001, +0.00000000000E+000
+1.06000000000E+009, -4.72200371543E+001, +0.00000000000E+000
+1.06200000000E+009, -4.70914850713E+001, +0.00000000000E+000
+1.06400000000E+009, -4.69672150590E+001, +0.00000000000E+000
+1.06600000000E+009, -4.68739810957E+001, +0.00000000000E+000
+1.06800000000E+009, -4.68037764571E+001, +0.00000000000E+000
+1.07000000000E+009, -4.67084373418E+001, +0.00000000000E+000
+1.07200000000E+009, -4.66009440325E+001, +0.00000000000E+000
+1.07400000000E+009, -4.66035050277E+001, +0.00000000000E+000
+1.07600000000E+009, -4.65906409540E+001, +0.00000000000E+000
+1.07800000000E+009, -4.66560393481E+001, +0.00000000000E+000
+1.08000000000E+009, -4.67191521343E+001, +0.00000000000E+000
+1.08200000000E+009, -4.68594095001E+001, +0.00000000000E+000
+1.08400000000E+009, -4.71054472214E+001, +0.00000000000E+000
+1.08600000000E+009, -4.73725317520E+001, +0.00000000000E+000
+1.08800000000E+009, -4.77147494357E+001, +0.00000000000E+000
+1.09000000000E+009, -4.81486264937E+001, +0.00000000000E+000
+1.09200000000E+009, -4.87302111382E+001, +0.00000000000E+000
+1.09400000000E+009, -4.93608868452E+001, +0.00000000000E+000
+1.09600000000E+009, -5.01496450914E+001, +0.00000000000E+000
+1.09800000000E+009, -5.10947224163E+001, +0.00000000000E+000
+1.10000000000E+009, -5.23174750769E+001, +0.00000000000E+000
+1.10200000000E+009, -5.36899763189E+001, +0.00000000000E+000
+1.10400000000E+009, -5.52046420912E+001, +0.00000000000E+000
+1.10600000000E+009, -5.67898642765E+001, +0.00000000000E+000
+1.10800000000E+009, -5.76909124840E+001, +0.00000000000E+000
+1.11000000000E+009, -5.72454822103E+001, +0.00000000000E+000
+1.11200000000E+009, -5.58560588539E+001, +0.00000000000E+000
+1.11400000000E+009, -5.39895212311E+001, +0.00000000000E+000
+1.11600000000E+009, -5.21003364892E+001, +0.00000000000E+000
+1.11800000000E+009, -5.03199608946E+001, +0.00000000000E+000
+1.12000000000E+009, -4.87340637039E+001, +0.00000000000E+000
+1.12200000000E+009, -4.73517413918E+001, +0.00000000000E+000
+1.12400000000E+009, -4.61324033958E+001, +0.00000000000E+000
+1.12600000000E+009, -4.50378899210E+001, +0.00000000000E+000
+1.12800000000E+009, -4.33263310818E+001, +0.00000000000E+000
+1.13000000000E+009, -4.24935654481E+001, +0.00000000000E+000
+1.13200000000E+009, -4.16735118058E+001, +0.00000000000E+000
+1.13400000000E+009, -4.09471864028E+001, +0.00000000000E+000
+1.13600000000E+009, -4.02369569845E+001, +0.00000000000E+000
+1.13800000000E+009, -3.95537776746E+001, +0.00000000000E+000
+1.14000000000E+009, -3.88997145510E+001, +0.00000000000E+000
+1.14200000000E+009, -3.82693703683E+001, +0.00000000000E+000
+1.14400000000E+009, -3.76747306712E+001, +0.00000000000E+000
+1.14600000000E+009, -3.71043038495E+001, +0.00000000000E+000
+1.14800000000E+009, -3.65541922976E+001, +0.00000000000E+000
+1.15000000000E+009, -3.60208114069E+001, +0.00000000000E+000
+1.15200000000E+009, -3.55075067565E+001, +0.00000000000E+000
+1.15400000000E+009, -3.50154002419E+001, +0.00000000000E+000
+1.15600000000E+009, -3.45309209858E+001, +0.00000000000E+000
+1.15800000000E+009, -3.40623264253E+001, +0.00000000000E+000
+1.16000000000E+009, -3.36043393352E+001, +0.00000000000E+000
+1.16200000000E+009, -3.31534730759E+001, +0.00000000000E+000
+1.16400000000E+009, -3.27171673385E+001, +0.00000000000E+000
+1.16600000000E+009, -3.22917725236E+001, +0.00000000000E+000
+1.16800000000E+009, -3.18769680459E+001, +0.00000000000E+000
+1.17000000000E+009, -3.14716209317E+001, +0.00000000000E+000
+1.17200000000E+009, -3.10678693005E+001, +0.00000000000E+000
+1.17400000000E+009, -3.06785809575E+001, +0.00000000000E+000
+1.17600000000E+009, -3.02840863503E+001, +0.00000000000E+000
+1.17800000000E+009, -2.99026692639E+001, +0.00000000000E+000
+1.18000000000E+009, -2.95365556545E+001, +0.00000000000E+000
+1.18200000000E+009, -2.91797426879E+001, +0.00000000000E+000
+1.18400000000E+009, -2.88330656217E+001, +0.00000000000E+000
+1.18600000000E+009, -2.84901974040E+001, +0.00000000000E+000
+1.18800000000E+009, -2.81545166864E+001, +0.00000000000E+000
+1.19000000000E+009, -2.78222045147E+001, +0.00000000000E+000
+1.19200000000E+009, -2.74950264582E+001, +0.00000000000E+000
+1.19400000000E+009, -2.71749426120E+001, +0.00000000000E+000
+1.19600000000E+009, -2.68591895512E+001, +0.00000000000E+000
+1.19800000000E+009, -2.65513098980E+001, +0.00000000000E+000
+1.20000000000E+009, -2.62504734377E+001, +0.00000000000E+000
+1.20200000000E+009, -2.59556987819E+001, +0.00000000000E+000
+1.20400000000E+009, -2.56651663898E+001, +0.00000000000E+000
+1.20600000000E+009, -2.53762487412E+001, +0.00000000000E+000
+1.20800000000E+009, -2.50991659376E+001, +0.00000000000E+000
+1.21000000000E+009, -2.48215351959E+001, +0.00000000000E+000
+1.21200000000E+009, -2.45474225728E+001, +0.00000000000E+000
+1.21400000000E+009, -2.42780178612E+001, +0.00000000000E+000
+1.21600000000E+009, -2.40081813019E+001, +0.00000000000E+000
+1.21800000000E+009, -2.37451405440E+001, +0.00000000000E+000
+1.22000000000E+009, -2.34878192987E+001, +0.00000000000E+000
+1.22200000000E+009, -2.32333643567E+001, +0.00000000000E+000
+1.22400000000E+009, -2.29775931692E+001, +0.00000000000E+000
+1.22600000000E+009, -2.27270567245E+001, +0.00000000000E+000
+1.22800000000E+009, -2.24818645633E+001, +0.00000000000E+000
+1.23000000000E+009, -2.22391145255E+001, +0.00000000000E+000
+1.23200000000E+009, -2.19991681952E+001, +0.00000000000E+000
+1.23400000000E+009, -2.17632762576E+001, +0.00000000000E+000
+1.23600000000E+009, -2.15317306555E+001, +0.00000000000E+000
+1.23800000000E+009, -2.13028884225E+001, +0.00000000000E+000
+1.24000000000E+009, -2.10775885465E+001, +0.00000000000E+000
+1.24200000000E+009, -2.08565102006E+001, +0.00000000000E+000
+1.24400000000E+009, -2.06378389067E+001, +0.00000000000E+000
+1.24600000000E+009, -2.04212619785E+001, +0.00000000000E+000
+1.24800000000E+009, -2.02110155950E+001, +0.00000000000E+000
+1.25000000000E+009, -1.99989264418E+001, +0.00000000000E+000
+1.25200000000E+009, -1.97899507602E+001, +0.00000000000E+000
+1.25400000000E+009, -1.95838136253E+001, +0.00000000000E+000
+1.25600000000E+009, -1.93824961676E+001, +0.00000000000E+000
+1.25800000000E+009, -1.91812555367E+001, +0.00000000000E+000
+1.26000000000E+009, -1.89858859212E+001, +0.00000000000E+000
+1.26200000000E+009, -1.87901687951E+001, +0.00000000000E+000
+1.26400000000E+009, -1.85991273509E+001, +0.00000000000E+000
+1.26600000000E+009, -1.84088968742E+001, +0.00000000000E+000
+1.26800000000E+009, -1.82200953538E+001, +0.00000000000E+000
+1.27000000000E+009, -1.80312014585E+001, +0.00000000000E+000
+1.27200000000E+009, -1.78460239455E+001, +0.00000000000E+000
+1.27400000000E+009, -1.76619223041E+001, +0.00000000000E+000
+1.27600000000E+009, -1.74809979918E+001, +0.00000000000E+000
+1.27800000000E+009, -1.73025466242E+001, +0.00000000000E+000
+1.28000000000E+009, -1.71268991672E+001, +0.00000000000E+000
+1.28200000000E+009, -1.69513203796E+001, +0.00000000000E+000
+1.28400000000E+009, -1.67766355514E+001, +0.00000000000E+000
+1.28600000000E+009, -1.66045303239E+001, +0.00000000000E+000
+1.28800000000E+009, -1.64352476358E+001, +0.00000000000E+000
+1.29000000000E+009, -1.62657098811E+001, +0.00000000000E+000
+1.29200000000E+009, -1.60994392400E+001, +0.00000000000E+000
+1.29400000000E+009, -1.59359437108E+001, +0.00000000000E+000
+1.29600000000E+009, -1.57733813958E+001, +0.00000000000E+000
+1.29800000000E+009, -1.56072356251E+001, +0.00000000000E+000
