"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+009, +3.30378382655E-002, +0.00000000000E+000
+1.00200000000E+009, +3.10914983761E-002, +0.00000000000E+000
+1.00400000000E+009, +2.92155605516E-002, +0.00000000000E+000
+1.00600000000E+009, +2.74039913252E-002, +0.00000000000E+000
+1.00800000000E+009, +2.56446137421E-002, +0.00000000000E+000
+1.01000000000E+009, +2.39576645542E-002, +0.00000000000E+000
+1.01200000000E+009, +2.23523789537E-002, +0.00000000000E+000
+1.01400000000E+009, +2.07930156001E-002, +0.00000000000E+000
+1.01600000000E+009, +1.93132140470E-002, +0.00000000000E+000
+1.01800000000E+009, +1.78712713283E-002, +0.00000000000E+000
+1.02000000000E+009, +1.64902266582E-002, +0.00000000000E+000
+1.02200000000E+009, +1.51928567339E-002, +0.00000000000E+000
+1.02400000000E+009, +1.39492078151E-002, +0.00000000000E+000
+1.02600000000E+009, +1.27879668166E-002, +0.00000000000E+000
+1.02800000000E+009, +1.16633798982E-002, +0.00000000000E+000
+1.03000000000E+009, +1.06245209169E-002, +0.00000000000E+000
+1.03200000000E+009, +9.67040622165E-003, +0.00000000000E+000
+1.03400000000E+009, +8.77793883236E-003, +0.00000000000E+000
+1.03600000000E+009, +7.95730427347E-003, +0.00000000000E+000
+1.03800000000E+009, +7.21398754692E-003, +0.00000000000E+000
+1.04000000000E+009, +6.54552638193E-003, +0.00000000000E+000
+1.04200000000E+009, +5.95740422983E-003, +0.00000000000E+000
+1.04400000000E+009, +5.48499498005E-003, +0.00000000000E+000
+1.04600000000E+009, +5.08592416342E-003, +0.00000000000E+000
+1.04800000000E+009, +4.78263085290E-003, +0.00000000000E+000
+1.05000000000E+009, +4.54829153962E-003, +0.00000000000E+000
+1.05200000000E+009, +4.38311388213E-003, +0.00000000000E+000
+1.05400000000E+009, +4.31995776761E-003, +0.00000000000E+000
+1.05600000000E+009, +4.29566081229E-003, +0.00000000000E+000
+1.05800000000E+009, +4.33565096382E-003, +0.00000000000E+000
+1.06000000000E+009, +4.38930468529E-003, +0.00000000000E+000
+1.06200000000E+009, +4.45278099927E-003, +0.00000000000E+000
+1.06400000000E+009, +4.50550907268E-003, +0.00000000000E+000
+1.06600000000E+009, +4.56700988588E-003, +0.00000000000E+000
+1.06800000000E+009, +4.61989129311E-003, +0.00000000000E+000
+1.07000000000E+009, +4.67427937578E-003, +0.00000000000E+000
+1.07200000000E+009, +4.72048733333E-003, +0.00000000000E+000
+1.07400000000E+009, +4.74919388550E-003, +0.00000000000E+000
+1.07600000000E+009, +4.75575504839E-003, +0.00000000000E+000
+1.07800000000E+009, +4.73239415698E-003, +0.00000000000E+000
+1.08000000000E+009, +4.69741534098E-003, +0.00000000000E+000
+1.08200000000E+009, +4.62690861842E-003, +0.00000000000E+000
+1.08400000000E+009, +4.51653411543E-003, +0.00000000000E+000
+1.08600000000E+009, +4.38119083199E-003, +0.00000000000E+000
+1.08800000000E+009, +4.23005206996E-003, +0.00000000000E+000
+1.09000000000E+009, +4.03525616900E-003, +0.00000000000E+000
+1.09200000000E+009, +3.78358539510E-003, +0.00000000000E+000
+1.09400000000E+009, +3.52270069106E-003, +0.00000000000E+000
+1.09600000000E+009, +3.22348104962E-003, +0.00000000000E+000
+1.09800000000E+009, +2.90574649377E-003, +0.00000000000E+000
+1.10000000000E+009, +2.55486988889E-003, +0.00000000000E+000
+1.10200000000E+009, +2.18955038628E-003, +0.00000000000E+000
+1.10400000000E+009, +1.85641341269E-003, +0.00000000000E+000
+1.10600000000E+009, +1.54366888740E-003, +0.00000000000E+000
+1.10800000000E+009, +1.34587879583E-003, +0.00000000000E+000
+1.11000000000E+009, +1.32877719614E-003, +0.00000000000E+000
+1.11200000000E+009, +1.52553482822E-003, +0.00000000000E+000
+1.11400000000E+009, +1.89364878627E-003, +0.00000000000E+000
+1.11600000000E+009, +2.36943790546E-003, +0.00000000000E+000
+1.11800000000E+009, +2.92331975761E-003, +0.00000000000E+000
+1.12000000000E+009, +3.51963985238E-003, +0.00000000000E+000
+1.12200000000E+009, +4.16288759912E-003, +0.00000000000E+000
+1.12400000000E+009, +4.81356125793E-003, +0.00000000000E+000
+1.12600000000E+009, +5.48750936537E-003, +0.00000000000E+000
+1.12800000000E+009, +6.17666929349E-003, +0.00000000000E+000
+1.13000000000E+009, +6.89973615917E-003, +0.00000000000E+000
+1.13200000000E+009, +7.63885889443E-003, +0.00000000000E+000
+1.13400000000E+009, +8.40722080725E-003, +0.00000000000E+000
+1.13600000000E+009, +9.18908211626E-003, +0.00000000000E+000
+1.13800000000E+009, +9.99679375425E-003, +0.00000000000E+000
+1.14000000000E+009, +1.08374785822E-002, +0.00000000000E+000
+1.14200000000E+009, +1.17093124900E-002, +0.00000000000E+000
+1.14400000000E+009, +1.25826385617E-002, +0.00000000000E+000
+1.14600000000E+009, +1.35000056299E-002, +0.00000000000E+000
+1.14800000000E+009, +1.44308364232E-002, +0.00000000000E+000
+1.15000000000E+009, +1.53961509819E-002, +0.00000000000E+000
+1.15200000000E+009, +1.63805336987E-002, +0.00000000000E+000
+1.15400000000E+009, +1.73831670086E-002, +0.00000000000E+000
+1.15600000000E+009, +1.83991529803E-002, +0.00000000000E+000
