"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+009, +1.38402358272E+001, +0.00000000000E+000
+1.00200000000E+009, +1.38228598702E+001, +0.00000000000E+000
+1.00400000000E+009, +1.38892724586E+001, +0.00000000000E+000
+1.00600000000E+009, +1.39946333535E+001, +0.00000000000E+000
+1.00800000000E+009, +1.41928702656E+001, +0.00000000000E+000
+1.01000000000E+009, +1.44505730672E+001, +0.00000000000E+000
+1.01200000000E+009, +1.48704665709E+001, +0.00000000000E+000
+1.01400000000E+009, +1.54051675650E+001, +0.00000000000E+000
+1.01600000000E+009, +1.60527134316E+001, +0.00000000000E+000
+1.01800000000E+009, +1.67992855535E+001, +0.00000000000E+000
+1.02000000000E+009, +1.78251025809E+001, +0.00000000000E+000
+1.02200000000E+009, +1.89766288464E+001, +0.00000000000E+000
+1.02400000000E+009, +2.02854809054E+001, +0.00000000000E+000
+1.02600000000E+009, +2.18005886215E+001, +0.00000000000E+000
+1.02800000000E+009, +2.38347843721E+001, +0.00000000000E+000
+1.03000000000E+009, +2.62355572839E+001, +0.00000000000E+000
+1.03200000000E+009, +2.91654598923E+001, +0.00000000000E+000
+1.03400000000E+009, +3.26196146438E+001, +0.00000000000E+000
+1.03600000000E+009, +3.63618359240E+001, +0.00000000000E+000
+1.03800000000E+009, +4.05295999506E+001, +0.00000000000E+000
+1.04000000000E+009, +4.55684242234E+001, +0.00000000000E+000
+1.04200000000E+009, +5.12956464984E+001, +0.00000000000E+000
+1.04400000000E+009, +5.78899883785E+001, +0.00000000000E+000
+1.04600000000E+009, +6.49963819344E+001, +0.00000000000E+000
+1.04800000000E+009, +7.22365722824E+001, +0.00000000000E+000
+1.05000000000E+009, +7.95534521543E+001, +0.00000000000E+000
+1.05200000000E+009, +8.64497168006E+001, +0.00000000000E+000
+1.05400000000E+009, +9.28369261093E+001, +0.00000000000E+000
+1.05600000000E+009, +9.84687179361E+001, +0.00000000000E+000
+1.05800000000E+009, +1.03111423950E+002, +0.00000000000E+000
+1.06000000000E+009, +1.07010203626E+002, +0.00000000000E+000
+1.06200000000E+009, +1.10435957748E+002, +0.00000000000E+000
+1.06400000000E+009, +1.13202185260E+002, +0.00000000000E+000
+1.06600000000E+009, +1.15632959364E+002, +0.00000000000E+000
+1.06800000000E+009, +1.18212249517E+002, +0.00000000000E+000
+1.07000000000E+009, +1.20252195271E+002, +0.00000000000E+000
+1.07200000000E+009, +1.22051105674E+002, +0.00000000000E+000
+1.07400000000E+009, +1.23627086936E+002, +0.00000000000E+000
+1.07600000000E+009, +1.24962175824E+002, +0.00000000000E+000
+1.07800000000E+009, +1.26406298769E+002, +0.00000000000E+000
+1.08000000000E+009, +1.27441775536E+002, +0.00000000000E+000
+1.08200000000E+009, +1.28150796823E+002, +0.00000000000E+000
+1.08400000000E+009, +1.28933750659E+002, +0.00000000000E+000
+1.08600000000E+009, +1.29403771413E+002, +0.00000000000E+000
+1.08800000000E+009, +1.29831656482E+002, +0.00000000000E+000
+1.09000000000E+009, +1.30361315010E+002, +0.00000000000E+000
+1.09200000000E+009, +1.30876534820E+002, +0.00000000000E+000
+1.09400000000E+009, +1.31442079417E+002, +0.00000000000E+000
+1.09600000000E+009, +1.31795196129E+002, +0.00000000000E+000
+1.09800000000E+009, +1.31923195373E+002, +0.00000000000E+000
+1.10000000000E+009, +1.32457132662E+002, +0.00000000000E+000
+1.10200000000E+009, +1.33643683825E+002, +0.00000000000E+000
+1.10400000000E+009, +1.35235419627E+002, +0.00000000000E+000
+1.10600000000E+009, +1.37916944670E+002, +0.00000000000E+000
+1.10800000000E+009, +1.42516965935E+002, +0.00000000000E+000
+1.11000000000E+009, +1.52108606759E+002, +0.00000000000E+000
+1.11200000000E+009, +1.76728204543E+002, +0.00000000000E+000
